RB,R_NUMBER,S_NUMBER,S_NAME,Datum,LENGTH SECTION,Ave_Rain,Max_Snow,Ave_Temp,Max_Temp,Min_Temp,Аve_Height,LIMIT,Kr.Kar.,Ave_Rad,Lat_Force,Ave_Inc,SKIDRES,RDB_RUT ,IRI,PCI,KON.NAK.,SSD H,SSD V,V sign,H sign,K.Int. P.T,K.Bridges,PGDS 2014,PGDS 2015,PGDS 2016,PGDS 2017,PGDS 2018,PGDS 2019,PGDS 2020,PGDS 2021,PGDS 2022,PGDS 2023,Wi 2014,Wi 2015,Wi 2016,Wi 2017,Wi 2018,Wi 2019,Wi 2020,Wi 2021,Wi 2022,Wi 2023
11,A1,11,Gradsko 1 (avtopat) - Negotino 1 (avtopat),2013,15783,544,3.67,13.93,32.69,-1.81,154,120,27.14,4165,0.267,2.37,0.4,3.04,2.84,74,0.19,0.57,0.19,19,2,0.13,0.13,4556,4478,4761,4816,5370,6156,3603,5552,6151,5404,0,0,0,0,2.534,0,0,0,0,0
12,A1,12,Negotino 1 (avtopat) - Demir Kapija 1 (avtopat),2016,16110,540,3.15,14.02,32.81,-1.75,136,110,35.58,5168,0.181,0.9,0.4,2.77,2.2,76,0.37,0.81,0.06,19,2,0.12,0.31,4700,4926,5237,5298,5907,6772,3963,6107,6766,5581,9.621,8.38,1.862,0.621,0,0,1.862,3.724,1.862,0.621
13,A1,13,Demir Kapija 1 (avtopat) - Miravci 2 (avtopat),2018,22739,570,6.77,13.4,31.94,-2.12,250,107,41.05,1252,0.706,1.95,0.4,3.53,1.01,93,0.44,0.66,0.04,5,2,0.04,0.48,0,0,0,0,0,7079,4143,6385,7074,6254,0,0,0,0,0,0.88,0,0.44,1.759,7.916
14,A1,14,Miravci 2 (avtopat) - Smokvica (avtopat),2018,5333,538,2.93,14.06,32.86,-1.73,132,110,15.34,3209,0.291,2.33,0.5,2.75,0.99,94,0.19,0.38,0.19,5,2,0.19,0.19,0,0,0,0,0,7079,4143,6385,7074,6254,0,0,0,0,0,0,0,0,3.75,5.625
15,A1,16,Smokvica (avtopat) - Prdejci (avtopat),2015,7188,524,1.04,14.39,33.31,-1.54,77,90,26.84,5043,0.124,0.83,0.5,3.15,1.67,95,0.42,0.56,0,13,2,0.28,0.42,5155,6831,6682,6735,6633,9421,3963,5930,7151,7681,0,0,0,0,1.391,1.391,0,0,1.391,1.391
16,A1,17,Prdejci (avtopat) - Gevgelija 1 (avtopat),2015,6242,519,0.61,14.46,33.42,-1.49,59,100,21.64,4508,0.171,0.98,0.5,5.65,1.82,86,0.48,0.16,0,12,2,0.16,0.32,5155,6831,6682,6735,6633,9421,3963,5930,7151,7681,0,13.617,3.204,1.602,15.219,1.602,16.822,0,1.602,3.204
17,A1,18,Gevgelija 1 (avtopat) - Drzhavna granica MK/GR (Bogorodica),2017,3864,520,0.62,14.46,33.41,-1.49,61,73.33,46.52,4593,0.09,1.93,0.5,4.39,2.1,81,0.26,0.52,0,11,2,0.26,0.52,8148,8881,9188,9127,8977,10650,4052,4159,4911,8163,0,0,2.588,2.588,2.588,2.588,0,0,2.588,0
18,A2,51,Miladinovci (avtopat) - Ilinden (avtopat),2013,7340,571,6.96,13.36,31.9,-2.14,258,74,45.06,2613,0.162,1.57,0.4,3.35,2.79,59,0.41,0.41,0.14,18,2,0.41,0.82,6595,7316,7311,7348,7441,15836,11751,15241,15493,17191,6.812,12.943,4.087,0,0,0,1.362,2.725,2.725,28.61
19,A2,52,Ilinden (avtopat) - Indzhikovo(avtopat),2013,3997,564,6.19,13.5,32.09,-2.06,231,100,104.82,2062,0.374,1.96,0.4,2.17,3.7,61,0.5,0.25,0,18,2,0.5,0.25,6595,7316,7311,7348,7441,15836,11751,15241,15493,17075,10.008,0,10.008,0,0,0,25.019,17.513,10.008,7.506
20,A2,53,Indzhikovo (avtopat) - Chento 2 (avtopat),2013,2094,564,6.18,13.5,32.09,-2.06,231,120,12.85,15900,0.07,1.62,0.4,1.13,4.18,72,0,0.96,0,18,2,0.48,0,4265,4288,5636,6167,6484,14432,11780,14648,12978,17075,4.776,0,4.776,0,0,0,4.776,0,33.429,9.551
21,A2,54,Chento 2 (avtopat) - Kluchka Stenkovec,2013,14363,579,8.07,13.17,31.64,-2.25,289,72,21.48,3010,0.133,0.88,0.5,1.05,1.71,66,0.28,0.49,0.14,18,2,0.35,0.63,4265,4288,5636,6167,6484,14432,11780,14648,12978,17075,5.57,1.392,3.481,10.095,0,2.785,10.792,4.874,20.191,14.621
22,A2,55,Kluchka Stenkovec - Saraj 1 (avtopat),2017,9210,588,8.96,13.02,31.43,-2.35,318,90,33.25,4165,0.15,4.31,0.5,1.53,1.58,71,0.11,0.54,0.11,18,2,0.33,1.09,4347,4421,5776,6139,6343,14397,12771,17002,16931,18285,4.343,1.086,4.343,3.257,9.229,0,13.572,9.229,6.515,7.6
23,A2,56,Saraj 1 (avtopat) - D. Grchec (avtopat),2017,2024,577,7.82,13.21,31.7,-2.23,282,90,26.95,1956,0.32,2.16,0.5,0.98,1.74,70,0,0.49,0,18,2,0.49,0.99,9677,10172,11857,11935,12655,15259,11061,15861,15744,16958,4.941,0,0,9.881,0,9.881,19.763,24.704,49.407,34.585
24,A2,57,D. Grchec (avtopat) - Grupchin (avtopat),2017,15289,600,10.68,12.72,31.01,-2.52,367,96,34.71,6338,0.112,1.92,0.4,0.9,1.48,74,0.2,0.46,0.07,24,2,0.2,0.39,9677,10172,11857,11935,12655,15259,11061,15861,15744,16958,8.503,12.1,2.616,5.233,14.062,10.792,0.654,10.792,0,1.308
25,A2,58,Grupchin (avtopat) - Zhelino 1 (avtopat),2013,7917,626,13.95,12.15,30.24,-2.86,468,96.67,38.21,1293,0.558,1.84,0.5,0.64,1.61,76,0.38,0.76,0.13,24,2,0.25,0.88,11118,11582,12830,13406,13780,14551,12650,15937,14980,16222,28.42,6.316,0,1.263,2.526,6.316,25.894,17.683,7.579,3.789
26,A2,59,Zhelino 1 (avtopat) - Tetovo 1 (avtopat),2013,6857,616,12.51,12.4,30.58,-2.71,428,110,27.31,3342,0.279,2.06,0.5,1.5,1.62,75,0.29,0.73,0,24,2,0.15,0.73,11118,11582,12830,13406,13780,14551,12650,15937,14980,16222,1.458,5.833,0,1.458,39.376,17.5,26.98,36.459,24.063,8.75
27,A2,60,Tetovo 1 (avtopat) - Blatishte (Kamenjane) (avtopat),2013,7502,622,13.26,12.27,30.4,-2.79,451,92,17.95,11630,0.056,0.44,0.5,2.61,2.13,75,0.27,0.4,0,24,2,0.53,0.67,12937,12958,12704,13087,13802,16300,13647,17415,17428,18833,2.666,6.665,20.661,22.661,37.323,24.66,3.999,2.666,11.997,13.33
28,A4,151,Indzhikovo (avtopat) - Petrovec 1 (avtopat),2013,10644,564,6.12,13.51,32.11,-2.06,230,82,53.7,33355,0.016,0.61,0.2,5.76,2.13,71,0.28,0.38,0.19,16,2,0.28,0.28,10494,12972,18112,16099,16422,18658,13349,16445,18406,14405,5.637,0,6.576,12.683,40.398,15.502,4.697,8.455,5.637,3.758
29,A4,152,Miladinovci 1 (avtopat) - Sredno Konjari (avtopat),2019,6384,590,9.33,12.95,31.34,-2.38,329,120,72.29,1250,0.889,4.48,0.5,1.5,1.74,92,0.31,0.94,0.16,4,2,0.16,0.16,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,0,0,3.133,6.266,0
30,A4,153,Sredno Konjari (avtopat) - Preod (avtopat),2019,15210,613,12.22,12.45,30.65,-2.68,417,120,32.77,2104,0.528,3.03,0.5,1.5,1.45,93,0.33,0.33,0.13,4,2,0.13,0.46,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,0,0,0,0,6.246
31,A4,154,Preod (avtopat) - Sveti Nikole S (avtopat),2019,6879,588,9.03,13,31.41,-2.35,320,120,18.8,2263,0.491,1.7,0.5,1.5,1.12,92,0,0.15,0.15,4,2,0.15,0.44,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,0,19.625,30.528,8.722,0
32,A4,155,Sveti Nikole S (avtopat) - Sveti Nikole J (avtopat),2019,3219,576,7.67,13.24,31.74,-2.21,278,120,56.59,920,1.208,0.8,0.5,1.5,1.16,94,0,0.62,0,4,2,0.31,1.24,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,3.107,0,6.213,15.533,0
33,A4,156,Sveti Nikole J (avtopat) - Kadrifakovo (avtopat),2019,8340,570,6.87,13.38,31.93,-2.13,253,120,29.77,2618,0.424,0.63,0.5,1.5,0.89,94,0.36,0.24,0.12,4,2,0.24,0.6,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,1.199,11.391,0,1.199,1.199
