RB,R_NUMBER,S_NUMBER,S_NAME,Datum,LENGTH SECTION,Ave_Rain,Max_Snow,Ave_Temp,Max_Temp,Min_Temp,Аve_Height,LIMIT,Kr.Kar.,Ave_Rad,Lat_Force,Ave_Inc,SKIDRES,RDB_RUT ,IRI,PCI,KON.NAK.,SSD H,SSD V,V sign,H sign,K.Int. P.T,K.Bridges,PGDS 2014,PGDS 2015,PGDS 2016,PGDS 2017,PGDS 2018,PGDS 2019,PGDS 2020,PGDS 2021,PGDS 2022,PGDS 2023,Wi 2014,Wi 2015,Wi 2016,Wi 2017,Wi 2018,Wi 2019,Wi 2020,Wi 2021,Wi 2022,Wi 2023
112,A3,1033,Dramche - Delchevo 1 (Dramche),2013,11058,653,17.16,11.59,29.47,-3.18,568,60,154.07,327,0.849,2.56,0.35,1.74,1.76,80,0.99,1.54,0.09,15,0.5,0.54,0.36,2142,2153,2553,2440,2601,2136,1799,2054,2078,2904,0.904,3.617,0.904,24.869,7.235,5.426,0,1.809,5.426,2.713
113,A3,1041,Krklino - Gorno Orizari,2013,712,660,17.98,11.45,29.28,-3.27,597,55,246.86,298,0.783,0.43,0.35,0,2.99,81,0,0,0,14,0.5,1.4,1.4,2518,2582,2742,3011,3170,4191,2316,2297,3422,3942,0,0,0,0,0,0,0,0,0,0
114,A3,1042,Gorno Orizari - Bitola 1 (crkva Sv. Nedela),2013,3761,661,18.07,11.43,29.25,-3.28,599,65,92.55,627,0.52,1.27,0.35,3.96,2.55,81,0.53,0,0,14,0.5,2.39,0.27,2518,2582,2742,3011,3170,4191,2316,2297,3422,3942,0,0,0,5.318,0,0,0,0,0,0
115,A3,1043,Bitola 1 (crkva Sv. Nedela) - Bitola 2 (Herakleja Linkestis),2013,3081,661,18.1,11.43,29.25,-3.28,601,46.67,226.3,148,1.136,1.11,0.35,4.22,4.09,81,0.97,1.3,0,21,0.5,4.54,0.32,2518,2582,2742,3011,3170,4191,2316,2297,3422,3942,3.246,3.246,0,0,0,0,0,0,0,3.246
116,A3,1044,Bitola 2 (Herakleja Linkestis) - Kravari,2013,4742,659,17.81,11.48,29.32,-3.25,592,62.5,20.63,831,0.363,0.35,0.35,1.64,2.52,66,0.42,0,0.21,27,0.5,1.69,0.21,2518,2582,2742,3011,3170,4191,2316,2297,3422,3942,4.218,8.435,2.109,4.218,6.326,6.326,2.109,0,4.218,8.435
117,A3,1045,Kravari - Medzhitlija,2013,7484,656,17.56,11.52,29.38,-3.22,583,70,58.07,834,0.453,0.17,0.35,0.85,2.05,65,0.94,1.34,0.13,30,0.5,0.94,0.4,2518,2582,2742,3011,3170,4191,2316,2297,3422,3942,6.681,6.681,1.336,14.03,1.336,4.009,2.672,5.345,4.009,18.038
118,A3,1046,Medzhitlija - Drzhavna granica MK/GR (Med─╣─żitlija),2013,918,658,17.72,11.5,29.34,-3.24,588,55,95.08,382,0.611,1.26,0.35,1.63,2.88,81,1.09,1.09,0,16,0.5,2.18,0,2518,2582,2742,3011,3170,4191,2316,2297,3422,3942,0,0,0,0,0,0,0,21.786,0,0
119,A4,1101,Drzhavna granica MK/KOS (Blace) - Stenkovec (Orman),2013,11313,589,9.25,12.97,31.36,-2.38,326,55,133.81,337,0.693,1.61,0.4,8.19,3.55,89,1.41,2.21,0.27,11,2,0.62,0.18,4042,4487,5315,5644,5937,6959,3615,6213,6985,14860,11.491,7.072,12.375,14.585,12.817,5.304,0.884,0.884,2.652,4.42
120,A4,1102,Sofilari 2 (Zavoj) - Novo Selo (Shopur),2013,14285,583,8.34,13.12,31.57,-2.28,303,70,37.7,2378,0.159,0.93,0.35,3.22,1.19,66,0.7,0.7,0.21,30,2,0.63,0.49,2936,3573,4250,4422,4645,4549,3411,4286,3828,214,13.651,11.901,4.9,2.8,23.101,11.551,0,5.95,0.7,0
121,A4,1103,Strumica 2 (Silosi) - Dabilja,2013,3628,561,5.88,13.55,32.16,-2.03,221,58,64.77,753,0.345,0.61,0.35,6.53,2.74,83,0.28,0.55,0,21,2,3.58,0,4374,4426,4502,4771,4489,12297,10302,11521,11640,23063,5.513,5.513,11.025,13.782,11.025,39.967,5.513,0,13.782,16.538
122,A4,1104,Dabilja - Robovo,2013,1452,561,5.77,13.57,32.19,-2.02,219,65,57.7,1372,0.238,0.74,0.4,3.97,1.4,79,1.38,0.69,0,21,2,2.75,0,4374,4426,4502,4771,4489,12297,10302,11521,11640,23063,6.887,27.548,13.774,6.887,0,6.887,6.887,6.887,27.548,41.322
123,A4,1105,Robovo - Novo Konjarevo,2013,21832,559,5.55,13.61,32.24,-2,212,66,50.82,525,0.64,0.72,0.35,3.59,1.79,88,0.82,1.1,0.09,21,2,1.74,0.46,4374,4426,4502,4771,4489,12297,10302,11521,11640,23063,8.932,5.955,10.993,3.206,2.29,5.726,8.016,2.29,8.016,11.909
